================================================================================
Configuration Files Inventory - Arch Linux - 2026-09-17 15:20:46
================================================================================

| PACKAGE                        | CONFIG_FILES |
|------------------------------|--------------|
| alsa-plugins                   | 15           |
| ark                            | 3            |
| at-spi2-core                   | 6            |
| attr                           | 2            |
| audit                          | 5            |
| avahi                          | 7            |
| backintime-cli                 | 4            |
| baloo                          | 4            |
| bash                           | 7            |
| bind                           | 2            |
| binutils                       | 2            |
| bluez                          | 5            |
| brltty                         | 6            |
| btrfs-assistant                | 2            |
| ca-certificates-utils          | 17           |
| cifs-utils                     | 6            |
| cockpit                        | 11           |
| containers-common              | 11           |
| cronie                         | 17           |
| cups                           | 17           |
| cups-pdf                       | 3            |
| dconf                          | 4            |
| discover                       | 4            |
| dkms                           | 4            |
| dnsmasq                        | 2            |
| dnssec-anchors                 | 2            |
| docbook-xml                    | 3            |
| downgrade                      | 4            |
| e2fsprogs                      | 3            |
| filesystem                     | 24           |
| flatpak                        | 5            |
| fluidsynth                     | 3            |
| fontconfig                     | 5            |
| freetype2                      | 3            |
| fuse-common                    | 2            |
| gawk                           | 4            |
| gdb                            | 3            |
| gimp                           | 10           |
| glibc                          | 7            |
| glusterfs                      | 22           |
| gnome-disk-utility             | 4            |
| gnome-keyring                  | 5            |
| gnutls                         | 3            |
| gpm                            | 3            |
| grub                           | 13           |
| grub-btrfs                     | 6            |
| gssproxy                       | 9            |
| gtk3                           | 3            |
| i3lock-color                   | 3            |
| iana-etc                       | 3            |
| imagemagick                    | 13           |
| inetutils                      | 4            |
| iptables                       | 9            |
| iptraf-ng                      | 3            |
| kbd                            | 3            |
| kdeconnect                     | 7            |
| keyutils                       | 4            |
| kglobalacceld                  | 4            |
| kio5                           | 4            |
| kmod                           | 3            |
| krb5                           | 2            |
| kwallet-pam                    | 4            |
| kxmlgui5                       | 4            |
| lib32-glibc                    | 3            |
| libblockdev                    | 5            |
| libcanberra                    | 5            |
| libelf                         | 6            |
| libinput                       | 2            |
| libldap                        | 3            |
| libnl                          | 4            |
| libpaper                       | 4            |
| libpulse                       | 3            |
| libpwquality                   | 4            |
| libreoffice-fresh              | 8            |
| libtirpc                       | 3            |
| libva                          | 2            |
| libvdpau                       | 2            |
| libvirt                        | 69           |
| linux-atm                      | 3            |
| lm_sensors                     | 6            |
| logrotate                      | 3            |
| lsb-release                    | 2            |
| lvm2                           | 15           |
| lynis                          | 3            |
| mailcap                        | 5            |
| man-db                         | 2            |
| mc                             | 12           |
| mdadm                          | 2            |
| mkinitcpio                     | 8            |
| mkinitcpio-openswap            | 2            |
| modemmanager                   | 5            |
| mtools                         | 2            |
| nano                           | 2            |
| nbd                            | 3            |
| ndctl                          | 9            |
| ndisc6                         | 4            |
| neovim                         | 4            |
| network-manager-applet         | 4            |
| networkmanager                 | 11           |
| nfs-utils                      | 7            |
| nfsidmap                       | 2            |
| nftables                       | 2            |
| nilfs-utils                    | 2            |
| ntp                            | 2            |
| nvme-cli                       | 3            |
| open-iscsi                     | 6            |
| open-isns                      | 5            |
| openssh                        | 10           |
| openssl                        | 12           |
| ostree                         | 6            |
| p11-kit                        | 3            |
| packagekit                     | 11           |
| pacman                         | 7            |
| pacman-contrib                 | 3            |
| pacman-mirrorlist              | 3            |
| pam                            | 12           |
| pambase                        | 8            |
| partimage                      | 5            |
| paru-git                       | 2            |
| pcp                            | 481          |
| pcsclite                       | 3            |
| perl                           | 4            |
| phodav                         | 3            |
| pipewire                       | 6            |
| pipewire-alsa                  | 4            |
| pipewire-audio                 | 4            |
| pipewire-jack                  | 3            |
| pipewire-pulse                 | 3            |
| plasma-desktop                 | 4            |
| plasma-workspace               | 10           |
| plocate                        | 2            |
| plymouth                       | 5            |
| polkit                         | 3            |
| polkit-kde-agent               | 4            |
| powerdevil                     | 4            |
| ppp                            | 21           |
| pptpclient                     | 3            |
| pulseaudio-alsa                | 4            |
| qemu-common                    | 5            |
| rdma-core                      | 36           |
| readline                       | 2            |
| refind                         | 3            |
| reflector                      | 4            |
| rhash                          | 2            |
| rp-pppoe                       | 3            |
| rpcbind                        | 3            |
| rsync                          | 2            |
| rtl8821cu-morrownr-dkms-git    | 3            |
| samba                          | 9            |
| sane                           | 86           |
| screen                         | 6            |
| sddm                           | 5            |
| shadow                         | 8            |
| signond                        | 2            |
| slang                          | 2            |
| smartmontools                  | 4            |
| sndio                          | 3            |
| spice-vdagent                  | 6            |
| sudo                           | 7            |
| swtpm                          | 4            |
| syncthing                      | 4            |
| system-config-printer          | 6            |
| systemd                        | 49           |
| timeshift                      | 3            |
| timeshift-autosnap             | 2            |
| tpm2-tss                       | 14           |
| tslib                          | 2            |
| tumbler                        | 4            |
| udisks2                        | 4            |
| upower                         | 5            |
| usb_modeswitch                 | 4            |
| util-linux                     | 10           |
| v4l-utils                      | 4            |
| vapoursynth                    | 3            |
| vde2                           | 8            |
| vpnc                           | 4            |
| vte-common                     | 4            |
| wget                           | 2            |
| wireguard-tools                | 2            |
| wireless-regdb                 | 3            |
| wpa_supplicant                 | 2            |
| wvdial                         | 5            |
| wvstreams                      | 2            |
| xapp                           | 8            |
| xdg-user-dirs                  | 6            |
| xl2tpd                         | 6            |
| xorg-server                    | 3            |
| xorg-xinit                     | 5            |
| zsh                            | 3            |
|------------------------------|--------------|-----------------------------------------|

Summary: 189 packages with configs, 1676 total config files
================================================================================
